topic,question,answer
Cum Achivi Troiam capere non possent| equum ligneum fecērunt,Does the main verb refer to present or past time?,past
Cum Achivi Troiam capere non possent| equum ligneum fecērunt,What is the mood of the verb in the temporal clause?,subjunctive
Cum Achivi Troiam capere non possent| equum ligneum fecērunt,What tense is the verb in the temporal clause?,imperfect
Cum Achivi Troiam capere non possent| equum ligneum fecērunt,Is the temporal clause contemporary with or earlier than the main verb?,contemporary
Cum Hercules infans erat| duos serpentes necavit,Does the main verb refer to present or past time?,past
Cum Hercules infans erat| duos serpentes necavit,What is the mood of the verb in the temporal clause?,indicative
Cum Hercules infans erat| duos serpentes necavit,What tense is the verb in the temporal clause?,imperfect
Cum Hercules infans erat| duos serpentes necavit,Is the temporal clause contemporary with or earlier than the main verb?,contemporary
Argonautae cum errarent| uoluntate Iunonis delati sunt ad insulam Diam,Does the main verb refer to present or past time?,past
Argonautae cum errarent| uoluntate Iunonis delati sunt ad insulam Diam,What is the mood of the verb in the temporal clause?,subjunctive
Argonautae cum errarent| uoluntate Iunonis delati sunt ad insulam Diam,What tense is the verb in the temporal clause?,imperfect
Argonautae cum errarent| uoluntate Iunonis delati sunt ad insulam Diam,Is the temporal clause contemporary with or earlier than the main verb?,contemporary
Iuno cum ad flumen Euhenum uenisset| Iason Aesonis filius eam transtulit,Does the main verb refer to present or past time?,past
Iuno cum ad flumen Euhenum uenisset| Iason Aesonis filius eam transtulit,What is the mood of the verb in the temporal clause?,subjunctive
Iuno cum ad flumen Euhenum uenisset| Iason Aesonis filius eam transtulit,What tense is the verb in the temporal clause?,imperfect
Iuno cum ad flumen Euhenum uenisset| Iason Aesonis filius eam transtulit,Is the temporal clause contemporary with or earlier than the main verb?,earlier
